"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"1911","ENSMUSG00000037905",732.892172653896,-0.571426284937261,0.140434976580285,-4.0689741177874,4.72205918898155e-05,0.00149780211537278,"Bri3bp"
"2069","ENSMUSG00000039835",535.706121300892,-0.572916371685172,0.166169720356781,-3.44777839461407,0.000565217577125633,0.00815093828785287,"Nhsl1"
"2281","ENSMUSG00000043811",49.8809124053517,-0.573941285991825,0.235430816569834,-2.43783415592742,0.0147755510227979,0.075203484003228,"Rtn4r"
"1268","ENSMUSG00000029096",2496.73206686948,-0.57413170244407,0.142418392998005,-4.03130305263387,5.54684663052829e-05,0.00168568195681829,"Htra3"
"2878","ENSMUSG00000072653",105.578667393849,-0.574555125544602,0.216539338768575,-2.65335217523063,0.00796966705599726,0.0488169448325334,"Zfp783"
"354","ENSMUSG00000018405",435.595570083033,-0.574862870890177,0.20281748325687,-2.83438519036403,0.00459139526010108,0.0333345536913658,"Mrm1"
"2601","ENSMUSG00000054675",9594.40405772642,-0.575455309072734,0.169002313510502,-3.40501438778811,0.000661605679146624,0.00906293711384118,"Tmem119"
"1963","ENSMUSG00000038415",89.2294201469624,-0.576104427684195,0.232903342205019,-2.47357733139383,0.0133767850445333,0.0702245876616897,"Foxq1"
"508","ENSMUSG00000020785",192.26904608975,-0.576377325545889,0.153064893993961,-3.76557491731991,0.000166166288785637,0.00347880449309102,"Camkk1"
"2081","ENSMUSG00000040010",512.125507240121,-0.576806886029311,0.163984246735633,-3.51745303290753,0.000435709449584182,0.00683094482255201,"Slc7a5"
"749","ENSMUSG00000023951",3410.89562335982,-0.578121944227176,0.124811077024178,-4.63197624771066,3.62191714566375e-06,0.000256624388740647,"Vegfa"
"1340","ENSMUSG00000029869",330.891164103507,-0.579887805048869,0.177518602757672,-3.26663119267825,0.00108835366051247,0.0127387696000565,"Ephb6"
"2887","ENSMUSG00000073427",81.0621329779896,-0.579912546384045,0.248971478490057,-2.32923284988728,0.0198467335359199,0.0917859081559751,"Gm4924"
"2310","ENSMUSG00000044646",465.182281088127,-0.580253610416526,0.225271317055724,-2.57579889885844,0.0100008793224542,0.057835034355868,"Zbtb7c"
"2757","ENSMUSG00000062785",106.566565284588,-0.581704393492252,0.246653451135054,-2.358387408793,0.0183545267188128,0.0868045027580864,"Kcnc3"
"2342","ENSMUSG00000045725",72.7696839419089,-0.583264564624045,0.234023430057088,-2.49233405596082,0.0126906616537417,0.0677182027589001,"Prr15"
