"","mgi_symbol","LqLc","CqLc","CqCc","LqCc"
"297","Spag9",0.175479841921988,NA,NA,NA
"298","Spon1",-1.11715283838009,-1.00738673047072,-1.09070498182138,-1.0868709138751
"299","Sptbn2",NA,NA,1.88068765359385,NA
"300","Srpx",-0.455068326644948,-0.472950854906153,-0.454794335782965,-0.475376381401899
"301","Srrm2",0.618358131409028,NA,NA,NA
"302","Stard13",NA,NA,0.649090567243291,0.56158485839109
"303","Stard9",NA,NA,NA,0.386507873811525
"304","Stk16",0.333469467850741,0.410316133129938,NA,NA
"305","Ston2",0.4645584944438,NA,NA,NA
"306","Stox2",NA,0.385501131439014,NA,NA
"307","Strn",NA,NA,0.297587198485603,NA
"308","Syt11",-0.246832433364085,-0.276817432092289,NA,NA
"309","Szt2",NA,NA,0.479578191205393,NA
"310","Taf4",0.229417717240352,NA,NA,0.25459826423827
"311","Tbx2",0.319062579465974,NA,NA,0.318613198428705
"312","Tcf20",NA,NA,0.239459778975126,NA
"313","Tcf7",0.494246641488413,NA,0.438870970530357,0.495480864289728
"314","Tdrd7",NA,0.274108494730759,NA,NA
"315","Tet2",NA,NA,0.43961743537672,NA
"316","Thoc2",0.184329743605494,NA,NA,NA
"317","Tiam2",0.263736754367281,NA,NA,0.247809028854248
"318","Tmc8",NA,-0.775694448930231,-0.612236446199064,NA
"319","Tmem140",-0.197590463121095,-0.22467438771511,-0.269229958974924,-0.301433102984165
"320","Tmem154",-0.502174851429178,-0.506813631201953,-0.579212991411295,-0.563806662030957
"321","Tmem184b",0.157548982126232,NA,NA,NA
"322","Tmem47",0.32742839540695,NA,NA,NA
"323","Tmem59l",NA,NA,NA,-1.22624611402156
"324","Tnc",0.609252061304911,0.568832354811004,0.601303975482647,0.611532856171227
"325","Tnfrsf19",NA,NA,0.783579874007512,NA
"326","Tnfsf11",-0.489885016395545,NA,NA,NA
"327","Tns3",0.361570038717638,0.329970629432591,0.356965668945433,0.353167742327014
"328","Tns4",NA,-0.980850978575725,NA,NA
"329","Trak1",NA,NA,0.201915586975203,0.247187498087771
"330","Trim3",NA,NA,0.308240463009492,NA
"331","Trpv2",0.226450024041594,NA,NA,NA
"332","Tspan11",NA,NA,1.09218117618216,0.926857480290041
"333","Ttc30b",-0.313433940330038,NA,-0.318031972369441,-0.317790154446001
"334","Tuba1b",NA,-0.0886132981693912,-0.0983373249402594,NA
"335","Uck2",NA,NA,0.270396171818199,0.264081608099927
"336","Vegfd",-0.875886342414205,-0.987838398611972,-0.956051147626138,-0.881116809820509
"337","Vipr2",-0.784074604591688,NA,NA,NA
"338","Vit",-0.571529931994532,NA,NA,NA
"339","Wnk4",NA,NA,-0.604147789910325,NA
"340","Wnt11",0.53328730817314,0.529098087605999,0.550957680303632,0.606113367579555
"341","Wnt7b",NA,NA,0.925434001970776,NA
"342","Xylb",NA,NA,NA,-0.614603603962789
"343","Xylt1",0.38673643486519,NA,NA,0.319388793785662
"344","Yrdc",NA,NA,NA,0.266782216380012
"345","Zc3h4",NA,NA,NA,0.259253037710274
"346","Zdhhc13",0.280710372645459,0.281134204156074,0.280320465379074,NA
"347","Zfand6",-0.234968788400138,-0.20209112127714,NA,NA
"348","Zfp219",NA,NA,-0.185172282149524,NA
"349","Zfp395",-0.262983332615927,NA,NA,-0.25668699336077
"350","Zfp583",NA,NA,NA,0.5489266977898
"351","Zfp618",1.03475806201265,NA,NA,1.19317295165898
